State,Data Center and AI Jobs,Per capita (Jobs per 100k population)
California,"81,577",204.5
Texas,"48,029",148.2
Florida,"28,682",118
New York,"27,849",138.4
Georgia,"24,137",211.5
Washington,"23,650",289.8
Virginia,"20,434",228
Illinois,"16,625",129.4
New Jersey,"16,047",164.7
Missouri,"14,520",229.7
Colorado,"13,290",219
Pennsylvania,"13,060",98.9
Ohio,"13,016",108.5
North Carolina,"12,439",109.3
Arizona,"10,936",140.2
Michigan,"10,214",99.6
Massachusetts,"10,128",139.2
Wisconsin,"8,377",139.1
Utah,"8,276",228.3
Tennessee,"7,918",107.2
Oregon,"7,653",177.6
Minnesota,"7,313",124.5
Maryland,"5,491",86.4
Connecticut,"4,408",117.9
Arkansas,"4,048",129.5
South Carolina,"4,010",70.8
Indiana,"3,931",56.1
Alabama,"3,791",72.4
Kentucky,"3,684",79
Iowa,"3,545",107.8
Louisiana,"3,234",70
Nevada,"3,045",90.3
Kansas,"2,537",84.3
Nebraska,"2,205",108.1
New Hampshire,"2,128",149.6
Oklahoma,"1,650",39.7
District of Columbia,"1,636",233.7
Idaho,"1,271",61.6
West Virginia,"1,195",67.6
Mississippi,"1,132",38.5
New Mexico,998,46.5
Maine,809,57.1
Rhode Island,696,61.6
Hawaii,534,36.7
Delaware,516,47.6
Montana,516,44.9
Vermont,484,74.7
South Dakota,404,43.1
North Dakota,313,38.6
Wyoming,216,36.4
Alaska,119,15.9
🇺🇸 U.S. Totals,"482,716",139.2
